# benchreport-meta: env=ci
# benchreport-meta: label=CI — GitHub-hosted runner (ubuntu-latest)
# benchreport-meta: tier=secondary
# benchreport-meta: machine=shared ubuntu-latest runner (noisy)
# benchreport-meta: commit=f874cc8
# benchreport-meta: date=2026-06-23T17:05:54Z
# benchreport-meta: goversion=go1.24.13
# benchreport-meta: benchtime=50ms
# benchreport-meta: count=8
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/deques
cpu: Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz
pkg: github.com/pickeringtech/go-collections/collections/sketches/bloom
,build/bench.txt,
,sec/op,CI
Filter_Add/size_10-4,4.4625000000000004e-08,1%
Filter_Add/size_100-4,4.4265e-08,0%
Filter_Add/size_1000-4,4.4160000000000006e-08,2%
Filter_Add/size_10000-4,4.476e-08,7%
Filter_Contains/size_10-4,4.5080000000000004e-08,0%
Filter_Contains/size_100-4,4.494e-08,2%
Filter_Contains/size_1000-4,4.5005000000000005e-08,0%
Filter_Contains/size_10000-4,4.5125e-08,1%
ConcurrentFilter_Add/size_10-4,6.6485e-08,1%
ConcurrentFilter_Add/size_100-4,6.5965e-08,1%
ConcurrentFilter_Add/size_1000-4,6.6425e-08,1%
ConcurrentFilter_Add/size_10000-4,6.591000000000001e-08,1%
ConcurrentFilter_Contains/size_10-4,5.4075e-08,1%
ConcurrentFilter_Contains/size_100-4,5.4320000000000006e-08,1%
ConcurrentFilter_Contains/size_1000-4,5.4645000000000004e-08,2%
ConcurrentFilter_Contains/size_10000-4,5.459500000000001e-08,1%
geomean,5.181906008687697e-08,

,build/bench.txt,
,B/op,CI
Filter_Add/size_10-4,0,0%
Filter_Add/size_100-4,0,0%
Filter_Add/size_1000-4,0,0%
Filter_Add/size_10000-4,0,0%
Filter_Contains/size_10-4,0,0%
Filter_Contains/size_100-4,0,0%
Filter_Contains/size_1000-4,0,0%
Filter_Contains/size_10000-4,0,0%
ConcurrentFilter_Add/size_10-4,0,0%
ConcurrentFilter_Add/size_100-4,0,0%
ConcurrentFilter_Add/size_1000-4,0,0%
ConcurrentFilter_Add/size_10000-4,0,0%
ConcurrentFilter_Contains/size_10-4,0,0%
ConcurrentFilter_Contains/size_100-4,0,0%
ConcurrentFilter_Contains/size_1000-4,0,0%
ConcurrentFilter_Contains/size_10000-4,0,0%
geomean,,

,build/bench.txt,
,allocs/op,CI
Filter_Add/size_10-4,0,0%
Filter_Add/size_100-4,0,0%
Filter_Add/size_1000-4,0,0%
Filter_Add/size_10000-4,0,0%
Filter_Contains/size_10-4,0,0%
Filter_Contains/size_100-4,0,0%
Filter_Contains/size_1000-4,0,0%
Filter_Contains/size_10000-4,0,0%
ConcurrentFilter_Add/size_10-4,0,0%
ConcurrentFilter_Add/size_100-4,0,0%
ConcurrentFilter_Add/size_1000-4,0,0%
ConcurrentFilter_Add/size_10000-4,0,0%
ConcurrentFilter_Contains/size_10-4,0,0%
ConcurrentFilter_Contains/size_100-4,0,0%
ConcurrentFilter_Contains/size_1000-4,0,0%
ConcurrentFilter_Contains/size_10000-4,0,0%
geomean,,

pkg: github.com/pickeringtech/go-collections/collections/sketches/countmin
,build/bench.txt,
,sec/op,CI
Sketch_Add/size_10-4,4.7520000000000005e-08,1%
Sketch_Add/size_100-4,4.8315000000000006e-08,1%
Sketch_Add/size_1000-4,4.8875000000000006e-08,1%
Sketch_Add/size_10000-4,4.8780000000000004e-08,2%
Sketch_Estimate/size_10-4,4.6610000000000005e-08,2%
Sketch_Estimate/size_100-4,4.729000000000001e-08,1%
Sketch_Estimate/size_1000-4,4.7855e-08,0%
Sketch_Estimate/size_10000-4,4.794e-08,0%
ConcurrentSketch_Add/size_10-4,6.9485e-08,1%
ConcurrentSketch_Add/size_100-4,6.971000000000001e-08,1%
ConcurrentSketch_Add/size_1000-4,7.041e-08,2%
ConcurrentSketch_Add/size_10000-4,7.138e-08,2%
geomean,5.441431275897434e-08,

,build/bench.txt,
,B/op,CI
Sketch_Add/size_10-4,0,0%
Sketch_Add/size_100-4,0,0%
Sketch_Add/size_1000-4,0,0%
Sketch_Add/size_10000-4,0,0%
Sketch_Estimate/size_10-4,0,0%
Sketch_Estimate/size_100-4,0,0%
Sketch_Estimate/size_1000-4,0,0%
Sketch_Estimate/size_10000-4,0,0%
ConcurrentSketch_Add/size_10-4,0,0%
ConcurrentSketch_Add/size_100-4,0,0%
ConcurrentSketch_Add/size_1000-4,0,0%
ConcurrentSketch_Add/size_10000-4,0,0%
geomean,,

,build/bench.txt,
,allocs/op,CI
Sketch_Add/size_10-4,0,0%
Sketch_Add/size_100-4,0,0%
Sketch_Add/size_1000-4,0,0%
Sketch_Add/size_10000-4,0,0%
Sketch_Estimate/size_10-4,0,0%
Sketch_Estimate/size_100-4,0,0%
Sketch_Estimate/size_1000-4,0,0%
Sketch_Estimate/size_10000-4,0,0%
ConcurrentSketch_Add/size_10-4,0,0%
ConcurrentSketch_Add/size_100-4,0,0%
ConcurrentSketch_Add/size_1000-4,0,0%
ConcurrentSketch_Add/size_10000-4,0,0%
geomean,,

pkg: github.com/pickeringtech/go-collections/collections/sketches/hll
,build/bench.txt,
,sec/op,CI
Sketch_Add/size_10-4,1.559e-08,1%
Sketch_Add/size_100-4,1.5660000000000003e-08,1%
Sketch_Add/size_1000-4,1.5614999999999998e-08,0%
Sketch_Add/size_10000-4,1.5660000000000003e-08,1%
ConcurrentSketch_Add/size_10-4,4.079e-08,1%
ConcurrentSketch_Add/size_100-4,4.0655e-08,2%
ConcurrentSketch_Add/size_1000-4,4.107e-08,1%
ConcurrentSketch_Add/size_10000-4,4.1225e-08,1%
Sketch_Count/size_10-4,7.000800000000001e-05,3%
Sketch_Count/size_100-4,6.965200000000002e-05,1%
Sketch_Count/size_1000-4,7.013900000000001e-05,1%
Sketch_Count/size_10000-4,6.993300000000001e-05,1%
geomean,3.55020940909622e-07,

,build/bench.txt,
,B/op,CI
Sketch_Add/size_10-4,0,0%
Sketch_Add/size_100-4,0,0%
Sketch_Add/size_1000-4,0,0%
Sketch_Add/size_10000-4,0,0%
ConcurrentSketch_Add/size_10-4,0,0%
ConcurrentSketch_Add/size_100-4,0,0%
ConcurrentSketch_Add/size_1000-4,0,0%
ConcurrentSketch_Add/size_10000-4,0,0%
Sketch_Count/size_10-4,0,0%
Sketch_Count/size_100-4,0,0%
Sketch_Count/size_1000-4,0,0%
Sketch_Count/size_10000-4,0,0%
geomean,,

,build/bench.txt,
,allocs/op,CI
Sketch_Add/size_10-4,0,0%
Sketch_Add/size_100-4,0,0%
Sketch_Add/size_1000-4,0,0%
Sketch_Add/size_10000-4,0,0%
ConcurrentSketch_Add/size_10-4,0,0%
ConcurrentSketch_Add/size_100-4,0,0%
ConcurrentSketch_Add/size_1000-4,0,0%
ConcurrentSketch_Add/size_10000-4,0,0%
Sketch_Count/size_10-4,0,0%
Sketch_Count/size_100-4,0,0%
Sketch_Count/size_1000-4,0,0%
Sketch_Count/size_10000-4,0,0%
geomean,,

pkg: github.com/pickeringtech/go-collections/collections/sketches/tdigest
,build/bench.txt,
,sec/op,CI
Digest_Add/size_10-4,8.378e-08,2%
Digest_Add/size_100-4,1.6495e-07,1%
Digest_Add/size_1000-4,2.0215000000000002e-07,1%
Digest_Add/size_10000-4,1.8045e-07,1%
Digest_Quantile/size_10-4,6.126000000000001e-08,3%
Digest_Quantile/size_100-4,4.101e-07,12%
Digest_Quantile/size_1000-4,1.106e-06,3%
Digest_Quantile/size_10000-4,2.16e-06,3%
Digest_Merge/size_10-4,3.27e-07,1%
Digest_Merge/size_100-4,1.5360000000000002e-06,4%
Digest_Merge/size_1000-4,1.0055000000000001e-05,2%
Digest_Merge/size_10000-4,1.4816500000000001e-05,2%
ConcurrentDigest_Add/size_10-4,1.1245e-07,2%
ConcurrentDigest_Add/size_100-4,1.95e-07,0%
ConcurrentDigest_Add/size_1000-4,2.3510000000000003e-07,1%
ConcurrentDigest_Add/size_10000-4,2.099e-07,1%
geomean,4.4598504627156926e-07,

,build/bench.txt,
,B/op,CI
Digest_Add/size_10-4,53,0%
Digest_Add/size_100-4,60,0%
Digest_Add/size_1000-4,67,0%
Digest_Add/size_10000-4,74,0%
Digest_Quantile/size_10-4,192,0%
Digest_Quantile/size_100-4,1792,0%
Digest_Quantile/size_1000-4,4864,0%
Digest_Quantile/size_10000-4,8192,0%
Digest_Merge/size_10-4,648,0%
Digest_Merge/size_100-4,5544,0%
Digest_Merge/size_1000-4,41128,0%
Digest_Merge/size_10000-4,61608,0%
ConcurrentDigest_Add/size_10-4,53,0%
ConcurrentDigest_Add/size_100-4,60,0%
ConcurrentDigest_Add/size_1000-4,67,0%
ConcurrentDigest_Add/size_10000-4,73,1%
geomean,522.2273719317467,

,build/bench.txt,
,allocs/op,CI
Digest_Add/size_10-4,0,0%
Digest_Add/size_100-4,0,0%
Digest_Add/size_1000-4,0,0%
Digest_Add/size_10000-4,0,0%
Digest_Quantile/size_10-4,1,0%
Digest_Quantile/size_100-4,1,0%
Digest_Quantile/size_1000-4,1,0%
Digest_Quantile/size_10000-4,1,0%
Digest_Merge/size_10-4,7,0%
Digest_Merge/size_100-4,7,0%
Digest_Merge/size_1000-4,8,0%
Digest_Merge/size_10000-4,8,0%
ConcurrentDigest_Add/size_10-4,0,0%
ConcurrentDigest_Add/size_100-4,0,0%
ConcurrentDigest_Add/size_1000-4,0,0%
ConcurrentDigest_Add/size_10000-4,0,0%
geomean,,

pkg: github.com/pickeringtech/go-collections/collections/streaming
,build/bench.txt,
,sec/op,CI
Reservoir_Add/10-4,2.2135e-07,3%
Reservoir_Add/100-4,9.158000000000001e-07,1%
Reservoir_Add/1_000-4,8.2075e-06,2%
Reservoir_Add/10_000-4,7.75665e-05,1%
Reservoir_Add/100_000-4,0.0007632030000000001,1%
Reservoir_Add/1_000_000-4,0.0075838965,13%
WeightedReservoir_Add/10-4,9.637e-07,1%
WeightedReservoir_Add/100-4,9.555e-06,2%
WeightedReservoir_Add/1_000-4,7.498850000000002e-05,0%
WeightedReservoir_Add/10_000-4,0.0006727790000000001,0%
WeightedReservoir_Add/100_000-4,0.0066150115,2%
WeightedReservoir_Add/1_000_000-4,0.0659377295,2%
TopK_Add/3-4,1.7985e-07,2%
TopK_Add/10-4,3.2945000000000003e-07,1%
TopK_Add/100-4,7.3155e-07,1%
TopK_Add/1_000-4,3.8889999999999995e-06,5%
TopK_Add/10_000-4,3.51635e-05,1%
TopK_Add/100_000-4,0.000347974,0%
TopK_Add/1_000_000-4,0.003517739,2%
TopK_Result/3-4,8.3475e-08,4%
TopK_Result/10-4,2.002e-07,2%
TopK_Result/100-4,3.1325000000000003e-07,2%
TopK_Result/1_000-4,3.1605000000000003e-07,2%
TopK_Result/10_000-4,3.092e-07,2%
TopK_Result/100_000-4,3.1070000000000005e-07,1%
TopK_Result/1_000_000-4,3.1380000000000007e-07,3%
geomean,9.77114977151448e-06,

,build/bench.txt,
,B/op,CI
Reservoir_Add/10-4,280,0%
Reservoir_Add/100-4,280,0%
Reservoir_Add/1_000-4,280,0%
Reservoir_Add/10_000-4,280,0%
Reservoir_Add/100_000-4,280,0%
Reservoir_Add/1_000_000-4,281,0%
WeightedReservoir_Add/10-4,600,0%
WeightedReservoir_Add/100-4,600,0%
WeightedReservoir_Add/1_000-4,600,0%
WeightedReservoir_Add/10_000-4,600,0%
WeightedReservoir_Add/100_000-4,600,0%
WeightedReservoir_Add/1_000_000-4,600,0%
TopK_Add/3-4,128,0%
TopK_Add/10-4,320,0%
TopK_Add/100-4,320,0%
TopK_Add/1_000-4,320,0%
TopK_Add/10_000-4,320,0%
TopK_Add/100_000-4,320,0%
TopK_Add/1_000_000-4,320,0%
TopK_Result/3-4,72,0%
TopK_Result/10-4,240,0%
TopK_Result/100-4,384,0%
TopK_Result/1_000-4,384,0%
TopK_Result/10_000-4,384,0%
TopK_Result/100_000-4,384,0%
TopK_Result/1_000_000-4,384,0%
geomean,334.98661100050475,

,build/bench.txt,
,allocs/op,CI
Reservoir_Add/10-4,7,0%
Reservoir_Add/100-4,7,0%
Reservoir_Add/1_000-4,7,0%
Reservoir_Add/10_000-4,7,0%
Reservoir_Add/100_000-4,7,0%
Reservoir_Add/1_000_000-4,7,0%
WeightedReservoir_Add/10-4,10,0%
WeightedReservoir_Add/100-4,10,0%
WeightedReservoir_Add/1_000-4,10,0%
WeightedReservoir_Add/10_000-4,10,0%
WeightedReservoir_Add/100_000-4,10,0%
WeightedReservoir_Add/1_000_000-4,10,0%
TopK_Add/3-4,6,0%
TopK_Add/10-4,8,0%
TopK_Add/100-4,8,0%
TopK_Add/1_000-4,8,0%
TopK_Add/10_000-4,8,0%
TopK_Add/100_000-4,8,0%
TopK_Add/1_000_000-4,8,0%
TopK_Result/3-4,3,0%
TopK_Result/10-4,3,0%
TopK_Result/100-4,3,0%
TopK_Result/1_000-4,3,0%
TopK_Result/10_000-4,3,0%
TopK_Result/100_000-4,3,0%
TopK_Result/1_000_000-4,3,0%
geomean,6.202715383429037,
