# benchreport-meta: env=reference
# benchreport-meta: label=Reference — Framework Desktop
# benchreport-meta: tier=primary
# benchreport-meta: machine=Framework Desktop · AMD Ryzen AI MAX+ 395 · 128 GB unified memory · Arch Linux
# benchreport-meta: commit=31d657d
# benchreport-meta: date=2026-06-16T19:23:20Z
# benchreport-meta: goversion=go1.25.5
# benchreport-meta: benchtime=30ms
# benchreport-meta: count=4
goos: linux
goarch: amd64
pkg: github.com/pickeringtech/go-collections/collections/dicts
cpu: AMD RYZEN AI MAX+ 395 w/ Radeon 8060S          
DoublyLinked_Filter/size_100-32,2.8455e-07,∞
DoublyLinked_Filter/size_1000-32,2.3665e-06,∞
DoublyLinked_Filter/size_10000-32,2.53965e-05,∞
DoublyLinked_ForEach/size_10-32,3.1395e-08,∞
DoublyLinked_ForEach/size_100-32,1.4500000000000001e-07,∞
DoublyLinked_ForEach/size_1000-32,1.3515e-06,∞
DoublyLinked_ForEach/size_10000-32,1.0149500000000002e-05,∞
geomean,1.8373823577711737e-07,

,build/bench.txt,
,B/op,CI
ConcurrentLinked_PushInPlace-32,24,∞
ConcurrentDoublyLinked_Get-32,0,∞
ConcurrentRWLinked_Get-32,0,∞
Array_Get/size_10-32,0,∞
Array_Get/size_100-32,0,∞
Array_Get/size_1000-32,0,∞
Array_Get/size_10000-32,0,∞
Array_Push/size_10-32,160,∞
Array_Push/size_100-32,1792,∞
Array_Push/size_1000-32,12288,∞
Array_Filter/size_10-32,120,∞
Array_Filter/size_100-32,1016,∞
Array_Filter/size_1000-32,8184,∞
Array_Filter/size_10000-32,128248,∞
Array_ForEach/size_10-32,24,∞
Array_ForEach/size_100-32,24,∞
Array_ForEach/size_1000-32,24,∞
Array_ForEach/size_10000-32,24,∞
Linked_Get/size_10-32,0,∞
Linked_Get/size_100-32,0,∞
Linked_Get/size_1000-32,0,∞
Linked_Get/size_10000-32,0,∞
Linked_Push/size_10-32,24,∞
Linked_Push/size_100-32,24,∞
Linked_Push/size_1000-32,24,∞
Linked_Filter/size_10-32,120,∞
Linked_Filter/size_100-32,1016,∞
Linked_Filter/size_1000-32,8184,∞
Linked_Filter/size_10000-32,128248.5,∞
Linked_ForEach/size_10-32,24,∞
Linked_ForEach/size_100-32,24,∞
Linked_ForEach/size_1000-32,24,∞
Linked_ForEach/size_10000-32,24,∞
DoublyLinked_Get/size_10-32,0,∞
DoublyLinked_Get/size_100-32,0,∞
DoublyLinked_Get/size_1000-32,0,∞
DoublyLinked_Get/size_10000-32,0,∞
DoublyLinked_Push/size_10-32,24,∞
DoublyLinked_Push/size_100-32,24,∞
DoublyLinked_Push/size_1000-32,24,∞
DoublyLinked_Filter/size_10-32,120,∞
DoublyLinked_Filter/size_100-32,1016,∞
DoublyLinked_Filter/size_1000-32,8184,∞
DoublyLinked_Filter/size_10000-32,128248,∞
DoublyLinked_ForEach/size_10-32,24,∞
DoublyLinked_ForEach/size_100-32,24,∞
DoublyLinked_ForEach/size_1000-32,24,∞
DoublyLinked_ForEach/size_10000-32,24,∞
geomean,,

,build/bench.txt,
,allocs/op,CI
ConcurrentLinked_PushInPlace-32,1,∞
ConcurrentDoublyLinked_Get-32,0,∞
ConcurrentRWLinked_Get-32,0,∞
Array_Get/size_10-32,0,∞
Array_Get/size_100-32,0,∞
Array_Get/size_1000-32,0,∞
Array_Get/size_10000-32,0,∞
Array_Push/size_10-32,1,∞
Array_Push/size_100-32,1,∞
Array_Push/size_1000-32,1,∞
Array_Filter/size_10-32,4,∞
Array_Filter/size_100-32,7,∞
Array_Filter/size_1000-32,10,∞
Array_Filter/size_10000-32,16,∞
Array_ForEach/size_10-32,2,∞
Array_ForEach/size_100-32,2,∞
Array_ForEach/size_1000-32,2,∞
Array_ForEach/size_10000-32,2,∞
Linked_Get/size_10-32,0,∞
Linked_Get/size_100-32,0,∞
Linked_Get/size_1000-32,0,∞
Linked_Get/size_10000-32,0,∞
Linked_Push/size_10-32,1,∞
Linked_Push/size_100-32,1,∞
Linked_Push/size_1000-32,1,∞
Linked_Filter/size_10-32,4,∞
Linked_Filter/size_100-32,7,∞
Linked_Filter/size_1000-32,10,∞
Linked_Filter/size_10000-32,16,∞
Linked_ForEach/size_10-32,2,∞
Linked_ForEach/size_100-32,2,∞
Linked_ForEach/size_1000-32,2,∞
Linked_ForEach/size_10000-32,2,∞
DoublyLinked_Get/size_10-32,0,∞
DoublyLinked_Get/size_100-32,0,∞
DoublyLinked_Get/size_1000-32,0,∞
DoublyLinked_Get/size_10000-32,0,∞
DoublyLinked_Push/size_10-32,1,∞
DoublyLinked_Push/size_100-32,1,∞
DoublyLinked_Push/size_1000-32,1,∞
DoublyLinked_Filter/size_10-32,4,∞
DoublyLinked_Filter/size_100-32,7,∞
DoublyLinked_Filter/size_1000-32,10,∞
DoublyLinked_Filter/size_10000-32,16,∞
DoublyLinked_ForEach/size_10-32,2,∞
DoublyLinked_ForEach/size_100-32,2,∞
DoublyLinked_ForEach/size_1000-32,2,∞
DoublyLinked_ForEach/size_10000-32,2,∞
geomean,,

pkg: github.com/pickeringtech/go-collections/collections/sets
,build/bench.txt,
,sec/op,CI
Hash_ForEach/size_10-32,9.7015e-08,∞
Hash_ForEach/size_100-32,5.0645e-07,∞
Hash_ForEach/size_1000-32,5.9260000000000005e-06,∞
Hash_ForEach/size_10000-32,5.62485e-05,∞
Hash_Contains/size_10-32,4.5075e-09,∞
Hash_Contains/size_100-32,4.8365e-09,∞
Hash_Contains/size_1000-32,5.232e-09,∞
Hash_Contains/size_10000-32,5.924000000000001e-09,∞
Hash_Add/size_10-32,4.1685e-08,∞
Hash_Add/size_100-32,4.8700000000000006e-08,∞
Hash_Add/size_1000-32,5.361e-08,∞
ConcurrentHash_Contains/size_10-32,1.2055000000000001e-08,∞
ConcurrentHash_Contains/size_100-32,1.2140000000000002e-08,∞
ConcurrentHash_Contains/size_1000-32,1.259e-08,∞
ConcurrentHash_Contains/size_10000-32,1.2565e-08,∞
ConcurrentHash_Add/size_10-32,5.2440000000000005e-08,∞
ConcurrentHash_Add/size_100-32,5.7965e-08,∞
ConcurrentHash_Add/size_1000-32,6.335e-08,∞
ConcurrentHash_ForEach/size_10-32,1.0525e-07,∞
ConcurrentHash_ForEach/size_100-32,5.1465e-07,∞
ConcurrentHash_ForEach/size_1000-32,6.048500000000001e-06,∞
ConcurrentHash_ForEach/size_10000-32,5.4036e-05,∞
ConcurrentHashRW_Contains/size_10-32,1.2050000000000002e-08,∞
ConcurrentHashRW_Contains/size_100-32,1.2275e-08,∞
ConcurrentHashRW_Contains/size_1000-32,1.3085000000000001e-08,∞
ConcurrentHashRW_Contains/size_10000-32,1.3050000000000001e-08,∞
ConcurrentHashRW_Add/size_10-32,5.7320000000000006e-08,∞
ConcurrentHashRW_Add/size_100-32,6.363e-08,∞
ConcurrentHashRW_Add/size_1000-32,7.121000000000001e-08,∞
ConcurrentHashRW_ForEach/size_10-32,1.0215e-07,∞
ConcurrentHashRW_ForEach/size_100-32,5.2575e-07,∞
ConcurrentHashRW_ForEach/size_1000-32,6.1515e-06,∞
ConcurrentHashRW_ForEach/size_10000-32,5.6005500000000004e-05,∞
geomean,1.0769233215040997e-07,

,build/bench.txt,
,B/op,CI
Hash_ForEach/size_10-32,24,∞
Hash_ForEach/size_100-32,24,∞
Hash_ForEach/size_1000-32,24,∞
Hash_ForEach/size_10000-32,24,∞
Hash_Contains/size_10-32,0,∞
Hash_Contains/size_100-32,0,∞
Hash_Contains/size_1000-32,0,∞
Hash_Contains/size_10000-32,0,∞
Hash_Add/size_10-32,0,∞
Hash_Add/size_100-32,0,∞
Hash_Add/size_1000-32,0,∞
ConcurrentHash_Contains/size_10-32,0,∞
ConcurrentHash_Contains/size_100-32,0,∞
ConcurrentHash_Contains/size_1000-32,0,∞
ConcurrentHash_Contains/size_10000-32,0,∞
ConcurrentHash_Add/size_10-32,0,∞
ConcurrentHash_Add/size_100-32,0,∞
ConcurrentHash_Add/size_1000-32,0,∞
ConcurrentHash_ForEach/size_10-32,24,∞
ConcurrentHash_ForEach/size_100-32,24,∞
ConcurrentHash_ForEach/size_1000-32,24,∞
ConcurrentHash_ForEach/size_10000-32,24,∞
ConcurrentHashRW_Contains/size_10-32,0,∞
ConcurrentHashRW_Contains/size_100-32,0,∞
ConcurrentHashRW_Contains/size_1000-32,0,∞
ConcurrentHashRW_Contains/size_10000-32,0,∞
ConcurrentHashRW_Add/size_10-32,0,∞
ConcurrentHashRW_Add/size_100-32,0,∞
ConcurrentHashRW_Add/size_1000-32,0,∞
ConcurrentHashRW_ForEach/size_10-32,24,∞
ConcurrentHashRW_ForEach/size_100-32,24,∞
ConcurrentHashRW_ForEach/size_1000-32,24,∞
ConcurrentHashRW_ForEach/size_10000-32,24,∞
geomean,,

,build/bench.txt,
,allocs/op,CI
Hash_ForEach/size_10-32,2,∞
Hash_ForEach/size_100-32,2,∞
Hash_ForEach/size_1000-32,2,∞
Hash_ForEach/size_10000-32,2,∞
Hash_Contains/size_10-32,0,∞
Hash_Contains/size_100-32,0,∞
Hash_Contains/size_1000-32,0,∞
Hash_Contains/size_10000-32,0,∞
Hash_Add/size_10-32,0,∞
Hash_Add/size_100-32,0,∞
Hash_Add/size_1000-32,0,∞
ConcurrentHash_Contains/size_10-32,0,∞
ConcurrentHash_Contains/size_100-32,0,∞
ConcurrentHash_Contains/size_1000-32,0,∞
ConcurrentHash_Contains/size_10000-32,0,∞
ConcurrentHash_Add/size_10-32,0,∞
ConcurrentHash_Add/size_100-32,0,∞
ConcurrentHash_Add/size_1000-32,0,∞
ConcurrentHash_ForEach/size_10-32,2,∞
ConcurrentHash_ForEach/size_100-32,2,∞
ConcurrentHash_ForEach/size_1000-32,2,∞
ConcurrentHash_ForEach/size_10000-32,2,∞
ConcurrentHashRW_Contains/size_10-32,0,∞
ConcurrentHashRW_Contains/size_100-32,0,∞
ConcurrentHashRW_Contains/size_1000-32,0,∞
ConcurrentHashRW_Contains/size_10000-32,0,∞
ConcurrentHashRW_Add/size_10-32,0,∞
ConcurrentHashRW_Add/size_100-32,0,∞
ConcurrentHashRW_Add/size_1000-32,0,∞
ConcurrentHashRW_ForEach/size_10-32,2,∞
ConcurrentHashRW_ForEach/size_100-32,2,∞
ConcurrentHashRW_ForEach/size_1000-32,2,∞
ConcurrentHashRW_ForEach/size_10000-32,2,∞
geomean,,
